Source paper,Technique,Model,Scale,Benchmark,Baseline perf,Benchmark perf
https://arxiv.org/pdf/2501.00656,RLVR,OLMO 2,1B,TruthfulQA,42.1,48.7
https://arxiv.org/pdf/2501.00656,SFT,OLMO 2,7B,TruthfulQA,48.6,48.6
https://arxiv.org/pdf/2501.00656,DPO,OLMO 2,7B,TruthfulQA,48.6,56
https://arxiv.org/pdf/2501.00656,RLVR,OLMO 2,7B,TruthfulQA,48.6,56.5
https://arxiv.org/pdf/2501.00656,SFT,OLMO 2,13B,TruthfulQA,57.1,57.1
https://arxiv.org/pdf/2501.00656,DPO,OLMO 2,13B,TruthfulQA,57.1,63.9
https://arxiv.org/pdf/2501.00656,RLVR,OLMO 2,13B,TruthfulQA,57.1,64.3
https://arxiv.org/pdf/2501.00656,SFT,OLMO 2,32B,TruthfulQA,61.3,61.3
https://arxiv.org/pdf/2501.00656,DPO,OLMO 2,32B,TruthfulQA,61.3,73.5
https://arxiv.org/pdf/2501.00656,RLVR,OLMO 2,32B,TruthfulQA,61.3,73.2
https://openreview.net/pdf/0fe7b2217515a82bd2db60ead4448f0c3ce60996.pdf,RL,Qwen3-4B,4B,Harmbench,22.5,4.37
https://openreview.net/pdf/0fe7b2217515a82bd2db60ead4448f0c3ce60996.pdf,CoT prompting,Qwen3-4B,4B,WildJailbreak,97.2,98.8
https://openreview.net/pdf/0fe7b2217515a82bd2db60ead4448f0c3ce60996.pdf,RL,Qwen3-8B,8B,Harmbench,14.37,1.25
https://openreview.net/pdf/0fe7b2217515a82bd2db60ead4448f0c3ce60996.pdf,CoT prompting,Qwen3-8B,8B,WildJailbreak,96.4,99.2
https://openreview.net/pdf/0fe7b2217515a82bd2db60ead4448f0c3ce60996.pdf,RL,Phi-4-mini-reasoning,3.8B,Harmbench,36.88,8.44
https://openreview.net/pdf/0fe7b2217515a82bd2db60ead4448f0c3ce60996.pdf,CoT prompting,Phi-4-mini-reasoning,3.8B,WildJailbreak,95.2,98.4
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,RRHF,Mistral 7B,7B,TruthfulQA,40.35,43.73
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,SLiC-HF,Mistral 7B,7B,TruthfulQA,40.35,48.36
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,DPO,Mistral 7B,7B,TruthfulQA,40.35,53.06
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,IPO,Mistral 7B,7B,TruthfulQA,40.35,45.44
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,CPO,Mistral 7B,7B,TruthfulQA,40.35,47.07
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,KTO,Mistral 7B,7B,TruthfulQA,40.35,56.6
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,ORPO,Mistral 7B,7B,TruthfulQA,40.35,47.91
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,R-DPO,Mistral 7B,7B,TruthfulQA,40.35,46.12
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,SimPO,Mistral 7B,7B,TruthfulQA,40.35,50.68
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,RRHF,Mistral 7B Instruct,7B,TruthfulQA,66.81,67.98
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,SLiC-HF,Mistral 7B Instruct,7B,TruthfulQA,66.81,65.3
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,DPO,Mistral 7B Instruct,7B,TruthfulQA,66.81,66.71
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,IPO,Mistral 7B Instruct,7B,TruthfulQA,66.81,67.36
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,CPO,Mistral 7B Instruct,7B,TruthfulQA,66.81,67.38
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,KTO,Mistral 7B Instruct,7B,TruthfulQA,66.81,68.45
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,ORPO,Mistral 7B Instruct,7B,TruthfulQA,66.81,66.33
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,R-DPO,Mistral 7B Instruct,7B,TruthfulQA,66.81,68.22
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,SimPO,Mistral 7B Instruct,7B,TruthfulQA,66.81,68.4
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,RRHF,Llama-3 8B,8B,TruthfulQA,45.33,55.01
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,SLiC-HF,Llama-3 8B,8B,TruthfulQA,45.33,54.95
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,DPO,Llama-3 8B,8B,TruthfulQA,45.33,53.48
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,IPO,Llama-3 8B,8B,TruthfulQA,45.33,54.2
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,CPO,Llama-3 8B,8B,TruthfulQA,45.33,54.29
https://proceedings.neurips.cc/paper_files/paper/2024/file/e099c1c9699814af0be873a175361713-Paper-Conference.pdf,KTO,Llama-3 8B,8B,TruthfulQA,45.33,55.76
